"common_name","code","sci_name","code6","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","Family","Order","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Diet.FruitSeed","Pollinator","SeedDisperser","Insectivore"
"Greater Yellowlegs","GRYE","Tringa melanoleuca","TRIMEL","Nonpasseriformes","Charadriiformes","Scolopacidae","Sandpipers and allies",59,"BL3","Greater Yellowlegs",80,0,0,20,0,0,0,0,0,0,"Invertebrate",0,80,20,0,0,0,0,0,1,0,"Scolopacidae","Charadriiformes",4,2,2,0,4,59.9,45.9,4.8,6,60.5,194.5,97.6,96.9,50.2,79.8,161.7,"Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Green Heron","GRHE","Butorides virescens","BUTVIR","Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Green Heron",30,0,30,40,0,0,0,0,0,0,"VertFishScav",0,80,20,0,0,0,0,0,1,0,"Ardeidae","Pelecaniformes",16,6,5,5,4,67.1,51.4,9,11.2,52.1,177.8,58,122.2,32.2,63.6,201.5,"Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",0,0,0,0
"Green-tailed Towhee","GTTO","Pipilo chlorurus","PIPCHL","Passeriformes","Passeriformes","Emberizidae","Buntings, American sparrows and allies",192,"BL3","Green-tailed Towhee",40,0,0,0,0,0,20,0,40,0,"Omnivore",0,0,70,30,0,0,0,0,1,0,"Passerellidae","Passeriformes",5,2,3,0,4,15.1,9.3,4.7,6.9,24.1,77.6,13.1,64.9,16.8,87.6,29.4,"Shrubland",2,3,"Omnivore","Omnivore","Generalist",60,0,1,1
"Green-winged Teal","GWTE","Anas crecca","ANACRE","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Common Teal",30,0,0,0,0,0,0,0,20,50,"PlantSeed",0,100,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",14,7,7,0,8,36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",20,0,0,0
"Hairy Woodpecker","HAWO","Dryobates villosus","DRYVIL","Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Hairy Woodpecker",70,0,0,0,0,0,10,10,10,0,"Invertebrate",0,0,20,30,50,0,0,0,1,0,"Picidae","Piciformes",11,5,5,1,4,31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",20,0,0,1
"Hammond's Flycatcher","HAFL","Empidonax hammondii","EMPHAM","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Hammond's Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,33,33,33,0,0,0,1,0,"Tyrannidae","Passeriformes",4,2,2,0,4,12.3,7.1,4.1,3,14.6,66.6,15.4,51.2,23.1,53.8,10.4,"Forest",1,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Harris's Hawk","HAHA","Parabuteo unicinctus","PARUNI","Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Harris's Hawk",0,90,10,0,0,0,0,0,0,0,"VertFishScav",0,0,100,0,0,0,0,0,1,0,"Accipitridae","Accipitriformes",5,2,3,0,4,34.4,21.4,11.4,16.6,81.6,320.8,99.8,223.2,30.8,222,850.3,"Shrubland",2,2,"Carnivore","Vertivore","Insessorial",0,0,0,0
"Hermit Thrush","HETH","Catharus guttatus","CATGUT","Passeriformes","Passeriformes","Turdidae","Thrushes",178,"BL3","Hermit Thrush",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,50,50,0,0,0,0,1,0,"Turdidae","Passeriformes",9,4,5,0,4,18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,"Forest",1,3,"Omnivore","Invertivore","Generalist",20,0,0,1
"Hermit Warbler","HEWA","Setophaga occidentalis","SETOCC","Passeriformes","Passeriformes","Parulidae","New World warblers",171,"BL3","Hermit Warbler",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,0,20,80,0,0,1,0,"Parulidae","Passeriformes",11,5,6,0,4,12.4,7.7,3.2,3.6,17.8,66.9,18,48.8,26.9,52.4,10.4,"Forest",1,3,"Carnivore","Invertivore","Insessorial",0,0,0,1
"Hooded Merganser","HOME","Lophodytes cucullatus","LOPCUC","Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Hooded Merganser",40,0,10,30,0,0,0,0,10,10,"Omnivore",80,20,0,0,0,0,0,0,1,0,"Anatidae","Anseriformes",5,2,3,0,4,39.6,27.6,8.3,9.3,29.2,186.6,95,91.5,50.9,85.6,613.8,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",10,0,0,0
"Hooded Oriole","HOOR","Icterus cucullatus","ICTCUC","Passeriformes","Passeriformes","Icteridae","New World blackbirds",190,"BL3","Hooded Oriole",40,0,0,0,0,0,20,30,0,10,"Omnivore",0,0,0,50,50,0,0,0,1,0,"Icteridae","Passeriformes",5,2,3,0,4,21.2,13.9,4.3,5.2,21.6,83.4,16.4,65.7,20,91.4,24.3,"Woodland",2,2,"Omnivore","Omnivore","Insessorial",20,0,0,1
"Horned Lark","HOLA","Eremophila alpestris","EREALP","Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Horned Lark",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,100,0,0,0,0,0,1,0,"Alaudidae","Passeriformes",14,6,8,0,4,13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Grassland",3,3,"Omnivore","Omnivore","Terrestrial",50,0,1,1
